date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1956-09-01,Hong Kong,Israel,2.0,3.0,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-06,Hong Kong,South Korea,2.0,2.0,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-08,Israel,South Korea,1.0,2.0,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-09,Hong Kong,Vietnam Republic,2.0,2.0,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-12,Israel,Vietnam Republic,2.0,1.0,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-15,South Korea,Vietnam Republic,5.0,3.0,AFC Asian Cup,So Kon Po,Hong Kong,True
1960-10-14,South Korea,Vietnam Republic,5.0,1.0,AFC Asian Cup,Seoul,South Korea,False
1960-10-17,South Korea,Israel,3.0,0.0,AFC Asian Cup,Seoul,South Korea,False
1960-10-17,Chinese Taipei,Vietnam Republic,2.0,0.0,AFC Asian Cup,Seoul,South Korea,True
1960-10-19,Israel,Vietnam Republic,5.0,1.0,AFC Asian Cup,Seoul,South Korea,True
1960-10-20,Israel,Chinese Taipei,1.0,0.0,AFC Asian Cup,Seoul,South Korea,True
1960-10-21,South Korea,Chinese Taipei,1.0,0.0,AFC Asian Cup,Seoul,South Korea,False
1964-05-26,Israel,Hong Kong,1.0,0.0,AFC Asian Cup,Ramat-Gan,Israel,False
1964-05-27,India,South Korea,2.0,0.0,AFC Asian Cup,Haifa,Israel,True
1964-05-29,Israel,India,2.0,0.0,AFC Asian Cup,Jaffa,Israel,False
1964-05-31,Hong Kong,South Korea,0.0,1.0,AFC Asian Cup,Jerusalem,Israel,True
1964-06-02,Hong Kong,India,1.0,3.0,AFC Asian Cup,Jaffa,Israel,True
1964-06-03,Israel,South Korea,2.0,1.0,AFC Asian Cup,Ramat-Gan,Israel,False
1968-05-10,Iran,Hong Kong,2.0,0.0,AFC Asian Cup,Teheran,Iran,False
1968-05-11,Burma,Chinese Taipei,1.0,1.0,AFC Asian Cup,Teheran,Iran,True
1968-05-12,Hong Kong,Israel,1.0,6.0,AFC Asian Cup,Teheran,Iran,True
1968-05-13,Iran,Chinese Taipei,4.0,0.0,AFC Asian Cup,Teheran,Iran,False
1968-05-14,Burma,Israel,1.0,0.0,AFC Asian Cup,Teheran,Iran,True
1968-05-15,Hong Kong,Chinese Taipei,1.0,1.0,AFC Asian Cup,Teheran,Iran,True
1968-05-16,Iran,Burma,3.0,1.0,AFC Asian Cup,Teheran,Iran,False
1968-05-17,Israel,Chinese Taipei,4.0,1.0,AFC Asian Cup,Teheran,Iran,True
1968-05-18,Burma,Hong Kong,2.0,0.0,AFC Asian Cup,Teheran,Iran,True
1968-05-19,Iran,Israel,2.0,1.0,AFC Asian Cup,Teheran,Iran,False
1972-05-07,Iran,Cambodia,2.0,0.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-07,South Korea,Iraq,0.0,0.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-08,Thailand,Kuwait,0.0,2.0,AFC Asian Cup,Bangkok,Thailand,False
1972-05-09,Iran,Iraq,3.0,0.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-10,Cambodia,South Korea,1.0,4.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-11,Thailand,Iraq,1.0,1.0,AFC Asian Cup,Bangkok,Thailand,False
1972-05-12,South Korea,Kuwait,1.0,2.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-13,Thailand,Iran,2.0,3.0,AFC Asian Cup,Bangkok,Thailand,False
1972-05-14,Cambodia,Kuwait,4.0,0.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-16,Iran,Cambodia,2.0,1.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-17,Thailand,South Korea,1.0,1.0,AFC Asian Cup,Bangkok,Thailand,False
1972-05-19,Iran,South Korea,2.0,1.0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-19,Thailand,Cambodia,2.0,2.0,AFC Asian Cup,Bangkok,Thailand,False
1976-06-03,Kuwait,Malaysia,2.0,0.0,AFC Asian Cup,Teheran,Iran,True
1976-06-04,Iran,Iraq,2.0,0.0,AFC Asian Cup,Teheran,Iran,False
1976-06-05,China PR,Malaysia,1.0,1.0,AFC Asian Cup,Teheran,Iran,True
1976-06-06,Iraq,Yemen DPR,1.0,0.0,AFC Asian Cup,Teheran,Iran,True
1976-06-07,China PR,Kuwait,0.0,1.0,AFC Asian Cup,Teheran,Iran,True
1976-06-08,Iran,Yemen DPR,8.0,0.0,AFC Asian Cup,Teheran,Iran,False
1976-06-10,Iran,China PR,2.0,0.0,AFC Asian Cup,Teheran,Iran,False
1976-06-10,Iraq,Kuwait,2.0,3.0,AFC Asian Cup,Teheran,Iran,True
1976-06-13,China PR,Iraq,1.0,0.0,AFC Asian Cup,Teheran,Iran,True
1976-06-13,Iran,Kuwait,1.0,0.0,AFC Asian Cup,Teheran,Iran,False
1980-09-15,Kuwait,United Arab Emirates,1.0,1.0,AFC Asian Cup,Kuwait City,Kuwait,False
1980-09-16,North Korea,Bangladesh,3.0,2.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-16,Malaysia,South Korea,1.0,1.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-17,Iran,Syria,0.0,0.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-17,Qatar,United Arab Emirates,2.0,1.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-18,North Korea,China PR,2.0,1.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-18,Kuwait,Malaysia,3.0,1.0,AFC Asian Cup,Kuwait City,Kuwait,False
1980-09-19,Bangladesh,Syria,0.0,1.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-19,Qatar,South Korea,0.0,2.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-20,China PR,Iran,2.0,2.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-20,United Arab Emirates,Malaysia,0.0,2.0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-21,Kuwait,South Korea,0.0,3.0,AFC Asian Cup,Kuwait City,Kuwait,False
1980-09-22,Bangladesh,Iran,0.0,7.0,AFC Asian Cup,Kuwait City,Kuwait,True
